A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,MendeleevNumber_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_At. Radius   (angstroms)_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_OrbitalD,host_Bsite0_IsHexagonal
Ba,Sr,,V,,,4,29.74770732,-2.113334555,7,136.9,50.9415,650,1.020625,4.390625,7.730568141,-0.5775,-5.326081436,1.569375,596.8375,-51.75,27.0625,18.044375,21.446125,-0.1005,0.3625,1.608809187,0.836423077,0.307393105,2.48875,3650,1.92,14.65,4,1.42,-1.67793991,2.22,2.76,3650,1.92,6.74,29.31,1.44,-1.92352226,2.45,46,1.64,0.17,0,0,0,0,23,1,7,0,0,0,0
Ba,Bi,Pr,Co,,,5,106.702335,-1.311862585,4,332.63,58.9332,758,0.9125,7.81,7.06658414,-0.22875,-5.470804145,1.4225,660.525,54.75,45.125,56.40875,49.049125,-0.1215,-8.1125,1.566252406,0.742810026,0.659295473,2.4325,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.17,-4.64853984,1.63,58,1.75,0.44,0.25,0.5,5.5,5,27,1,3,0,0,0,1
Ba,Ca,,Fe,,,4,171.6080933,-1.435607274,6,154.67,55.847,759.3,1.02075,4.967,7.17978616,-0.35625,-5.113806049,1.485,663.6875,-53,31.25,117.4,4.272,0.043625,6.4875,1.583657474,0.748156196,0.432195994,2.3625,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.34,-1.92725921,2.23,55,1.77,0.27,0,0,0,0,26,1,4,0,0,0,0
Ba,Cd,Pr,Ni,,,5,284.8981896,-0.868639335,4,332.63,58.6934,736.7,0.905,7.6725,6.929112707,0.078125,-4.308581836,1.41125,670.425,61.5,44.625,62.875,37.097725,-0.11925,-4.7375,1.525229494,0.820076015,0.599556291,2.4525,3005,1.62,18.168,14.6,1.42,-0.74033904,2.22,2.76,3005,1.62,7.635,35.17,1.2,-4.64853984,1.71,61,1.75,0.41,0,0.5,5.5,1.5,28,1,2,0,0,0,0
Ba,Dy,,Fe,,,4,270.0079129,-1.746806189,6,230,55.847,759.3,0.924375,7.592,7.011254716,-0.01125,-6.108765383,1.42875,657.0125,24.25,40.25,46.4125,50.18025,-0.134125,-4.8375,1.523011166,0.730574213,0.593848355,2.5575,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.083,-4.45538074,2.49,55,1.77,0.527,0,0.75,3,7.5,26,1,4,0,0,0,0
Ba,Gd,,Fe,,,4,70.97342159,-1.903261754,6,311.71,55.847,759.3,0.933375,7.34825,7.055707903,0.2175,-6.128590454,1.43625,664.5125,24.25,38.75,46.375,48.2115,-0.1105,-4.95,1.539007716,0.750329251,0.769191702,2.595,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.107,-4.51068704,2.54,55,1.77,0.503,0,0.75,5.25,5.25,26,1,4,0,0,0,0
Ba,Ho,,Fe,,,4,291.384616,-1.730646902,6,251.04,55.847,759.3,0.93825,7.68575,7.014745884,0.22,-6.099713791,1.425,660.3875,24.25,41,48.475,51.0916125,-0.137125,-4.8375,1.524267468,0.73946398,0.638998569,2.5425,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.12,-4.4347242,2.47,55,1.77,0.49,0,0.75,2.25,8.25,26,1,4,0,0,0,0
Ba,La,,Co,,,4,59.63498938,-1.663537668,6,399.57,58.9332,758,0.97625,7.205,7.172912706,0.3121875,-5.628464674,1.29625,643.65,47.25,35,57.3625,39.7892125,-0.11375,-7.8875,1.604865962,0.69828496,0.896671578,2.745,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.36,-4.79586452,2.74,58,1.75,0.25,0,0.75,0,0,27,1,3,0,0,1,1
Ba,La,,Cr,,,4,16.66840972,-2.244336479,6,399.57,51.996,652.8,0.98625,6.35,7.235654015,0.2046875,-6.841128372,1.30625,591.05,44.25,30.5,54.2125,43.2578125,-0.12775,-2.8875,1.569114158,0.810814951,0.985942563,2.745,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,2945,1.85,6.766,30.96,1.36,-4.79586452,2.74,49,1.73,0.25,0,0.75,0,0,24,1,5,0,0,1,0
Ba,La,,Fe,,,4,0,-2.003512701,6,399.57,55.847,759.3,1.02825,6.692,7.198177044,0.2146875,-6.231012282,1.30125,644.3,24.25,33.5,47.4625,41.3323125,-0.12775,-4.5375,1.590275463,0.697089424,0.957732475,2.745,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.36,-4.79586452,2.74,55,1.77,0.25,0,0.75,0,0,26,1,4,0,0,1,0
Ba,La,,Ga,,,4,94.50620971,-2.142007386,6,399.57,69.723,578.8,1.02125,5.71,7.717508022,-0.2440625,-3.594397753,1.34625,554.05,26.75,43,27.6625,34.3943125,-0.08875,0.1625,1.339876549,0.914478231,1.307222917,2.745,2478,1.81,20.51,1.8,1.42,-1.92352226,2.22,2.76,2478,1.81,5.999,30.71,1.36,-4.79586452,2.74,74,1.31,0.25,0,0.75,0,0,31,1,0,5,0,1,0
Ba,La,,Mn,,,4,43.36372073,-2.058584002,6,399.57,54.938,717.4,1.02075,6.475,7.179053412,0.225894397,-6.598552727,1.30125,623.35,12.25,32,11.2725,41.7868125,-0.14325,0.8125,1.601295047,0.737803178,1.523288887,2.745,2235,1.79,15.64,0.5,1.42,-1.92352226,2.22,2.76,2235,1.79,7.435,33.667,1.36,-4.79586452,2.74,52,1.61,0.25,0,0.75,0,0,25,1,5,0,0,1,0
Ba,La,,Ni,,,4,162.3085821,-1.335043043,6,399.57,58.6934,736.7,0.95125,7.205,7.163207323,0.2196875,-4.861432387,1.29125,633,67.75,36.5,52.7125,39.9091125,-0.12525,-6.2375,1.610542384,0.718474277,0.886695364,2.745,3005,1.62,18.168,14.6,1.42,-1.92352226,2.22,2.76,3005,1.62,7.635,35.17,1.36,-4.79586452,2.74,61,1.75,0.25,0,0.75,0,0,28,1,2,0,0,1,0
Ba,La,,Sc,,,4,14.09444405,-3.002093623,6,399.57,44.9559,631,1.08375,4.25,7.96026777,0.1971875,-5.231026647,1.43625,580.15,21.3,11.5,15.2625,46.7778625,-0.18725,0.3125,1.248019221,0.838827258,1.098187336,2.745,3109,2.09,12.8,1.5,1.42,-1.92352226,2.22,2.76,3109,2.09,6.54,24.76,1.36,-4.79586452,2.74,11,1.27,0.25,0,0.75,0,0,21,1,9,0,0,1,1
Ba,La,,Ti,,,4,14.81005156,-2.830398081,6,399.57,47.88,658,1.01375,5.025,7.648669925,0.2896875,-5.975883662,1.37625,593.65,22.25,27.5,18.3125,45.3158125,-0.16475,-0.2375,1.368437299,0.804407295,0.787223659,2.745,3560,2,13.58,2.6,1.42,-1.92352226,2.22,2.76,3560,2,6.82,27.491,1.36,-4.79586452,2.74,43,1.52,0.25,0,0.75,0,0,22,1,8,0,0,1,1
Ba,La,,V,,,4,53.85203387,-2.352156953,6,399.57,50.9415,650,1.00125,5.81,7.382509153,0.2146875,-6.557900447,1.32625,589.65,37.25,29,22.7125,43.7850625,-0.14775,-0.9375,1.491350875,0.814307692,0.749334005,2.745,3650,1.92,14.65,4,1.42,-1.92352226,2.22,2.76,3650,1.92,6.74,29.31,1.36,-4.79586452,2.74,46,1.64,0.25,0,0.75,0,0,23,1,7,0,0,1,0
Ba,Mg,,Fe,,,4,515.8053305,-1.014907035,6,127.6,55.847,759.3,0.852,5.03825,6.718752418,-0.00375,-4.961534579,1.3425,719.15,-80.75,54.125,100.9,-1.642875,0.1835,3.15,1.417753749,0.894244699,0.374105866,1.98,3023,1.72,16.18,11.2,1.42,-1.51367083,2.22,2.76,3023,1.72,7.87,30.651,0.89,-1.92352226,1.72,55,1.77,0.72,0,0,0,0,26,1,4,0,0,0,0
Ba,Nd,,Fe,,,4,132.8149808,-1.819950909,6,283.68,55.847,759.3,0.9945,7.0145,7.126228797,0.06,-6.169064215,1.4475,641.2625,24.25,35.75,48.5875,43.33275,-0.12775,-4.65,1.564384772,0.689088634,0.709041488,2.67,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.27,-4.6307523,2.64,55,1.77,0.34,0,0.75,7.5,3,26,1,4,0,0,0,0
Ba,Pr,,Co,,,4,62.49404951,-1.60742447,6,332.63,58.9332,758,0.91625,7.4375,7.127828455,0.178125,-5.57082109,1.44625,637.9875,47.25,36.5,56.9875,40.5400375,-0.112625,-8.0375,1.588493473,0.683344327,0.762181891,2.6925,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.2,-4.64853984,2.67,58,1.75,0.41,0,0.75,8.25,2.25,27,1,3,0,0,0,1
Ba,Pr,,Cr,,,4,33.65498379,-2.125968031,6,332.63,51.996,652.8,0.92625,6.5825,7.190569764,0.070625,-6.783484788,1.45625,585.3875,44.25,32,53.8375,44.0086375,-0.126625,-3.0375,1.553106402,0.793466605,0.838063328,2.6925,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,2945,1.85,6.766,30.96,1.2,-4.64853984,2.67,49,1.73,0.41,0,0.75,8.25,2.25,24,1,5,0,0,0,0
Ba,Pr,,Fe,,,4,58.88531967,-1.881720753,6,332.63,55.847,759.3,0.96825,6.9245,7.153092794,0.080625,-6.173368698,1.45125,638.6375,24.25,35,47.0875,42.0831375,-0.126625,-4.6875,1.574051824,0.682174371,0.814084406,2.6925,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.2,-4.64853984,2.67,55,1.77,0.41,0,0.75,8.25,2.25,26,1,4,0,0,0,0
Ba,Pr,,Ga,,,4,155.4650781,-2.022670188,6,332.63,69.723,578.8,0.96125,5.9425,7.672423771,-0.378125,-3.536754169,1.49625,548.3875,26.75,44.5,27.2875,35.1451375,-0.087625,0.0125,1.326207424,0.894911887,1.111155589,2.6925,2478,1.81,20.51,1.8,1.42,-1.92352226,2.22,2.76,2478,1.81,5.999,30.71,1.2,-4.64853984,2.67,74,1.31,0.41,0,0.75,8.25,2.25,31,1,0,5,0,0,0
Ba,Pr,,Mn,,,4,51.30901636,-2.003141803,6,332.63,54.938,717.4,0.96075,6.7075,7.133969162,0.091831897,-6.540909143,1.45125,617.6875,12.25,33.5,10.8975,42.5376375,-0.142125,0.6625,1.584958988,0.722017006,1.294814326,2.6925,2235,1.79,15.64,0.5,1.42,-1.92352226,2.22,2.76,2235,1.79,7.435,33.667,1.2,-4.64853984,2.67,52,1.61,0.41,0,0.75,8.25,2.25,25,1,5,0,0,0,0
Ba,Pr,,Ni,,,4,162.8921755,-1.281903845,6,332.63,58.6934,736.7,0.89125,7.4375,7.118123072,0.085625,-4.803788803,1.44125,627.3375,67.75,38,52.3375,40.6599375,-0.124125,-6.3875,1.594111986,0.70310167,0.753701987,2.6925,3005,1.62,18.168,14.6,1.42,-1.92352226,2.22,2.76,3005,1.62,7.635,35.17,1.2,-4.64853984,2.67,61,1.75,0.41,0,0.75,8.25,2.25,28,1,2,0,0,0,0
Ba,Pr,,Sc,,,4,65.98496318,-2.896167925,6,332.63,44.9559,631,1.02375,4.4825,7.915183519,0.063125,-5.173383063,1.58625,574.4875,21.3,13,14.8875,47.5286875,-0.186125,0.1625,1.235287204,0.820879556,0.933472769,2.6925,3109,2.09,12.8,1.5,1.42,-1.92352226,2.22,2.76,3109,2.09,6.54,24.76,1.2,-4.64853984,2.67,11,1.27,0.41,0,0.75,8.25,2.25,21,1,9,0,0,0,1
Ba,Pr,,Ti,,,4,10.17451175,-2.755494882,6,332.63,47.88,658,0.95375,5.2575,7.603585674,0.155625,-5.918240078,1.52625,587.9875,22.25,29,17.9375,46.0666375,-0.163625,-0.3875,1.354476804,0.787196049,0.669149812,2.6925,3560,2,13.58,2.6,1.42,-1.92352226,2.22,2.76,3560,2,6.82,27.491,1.2,-4.64853984,2.67,43,1.52,0.41,0,0.75,8.25,2.25,22,1,8,0,0,0,1
Ba,Pr,,V,,,4,18.9735033,-2.282407505,6,332.63,50.9415,650,0.94125,6.0425,7.337424902,0.080625,-6.500256863,1.47625,583.9875,37.25,30.5,22.3375,44.5358875,-0.146625,-1.0875,1.476136442,0.796884615,0.636943139,2.6925,3650,1.92,14.65,4,1.42,-1.92352226,2.22,2.76,3650,1.92,6.74,29.31,1.2,-4.64853984,2.67,46,1.64,0.41,0,0.75,8.25,2.25,23,1,7,0,0,0,0
Ba,Sm,,Fe,,,4,178.2357388,-1.794980239,6,191.63,55.847,759.3,0.98325,5.417,7.084429511,0.1275,-6.150699826,1.44,646.1375,24.25,37.25,47.3875,45.62775,-0.125125,-4.8375,1.549343232,0.701929409,0.511509299,2.6325,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.24,-4.5732413,2.59,55,1.77,0.37,0,0.75,6,4.5,26,1,4,0,0,0,0
Ba,Sn,Pr,Ni,,,5,276.3402685,-1.033511169,4,332.63,58.6934,736.7,0.8425,7.505,7.002965225,-0.948125,-4.702190944,1.41125,650.5375,76.625,45.875,59.1,37.885225,-0.11975,-5.4875,1.552144131,0.766085245,0.725715232,2.455,3005,1.62,18.168,14.6,1.42,-1.92352226,2.22,2.76,3005,1.62,7.635,35.17,0.81,-4.64853984,1.72,61,1.75,0.8,0,0.5,5.5,1.5,28,1,2,0,0,0,0
Ba,Sr,,Co,,,4,106.7457587,-1.210712992,6,136.9,58.9332,758,1.00625,5.85125,7.558341216,-0.3975,-4.411689955,1.54375,647.925,-34.5,33.125,53.62375,20.55715,-0.0725,-6.725,1.744835546,0.709564644,0.368939191,2.5275,3143,1.67,17.06,17.9,1.42,-1.67793991,2.22,2.76,3143,1.67,7.86,33.5,1.44,-1.92352226,2.45,58,1.75,0.17,0,0,0,0,27,1,3,0,0,0,1
Ba,Sr,,Fe,Co,,5,109.488956,-1.340597884,6,136.9,55.847,759.3,1.03225,5.59475,7.570973385,-0.44625,-4.712963759,1.54625,648.25,-46,32.375,48.67375,21.3287,-0.0795,-5.05,1.736867817,0.708956699,0.381087438,2.5275,3083,1.695,16.62,14.55,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.5,1,3.5,0,0,0,0
Ba,Sr,,Fe,Ni,,5,183.2712842,-1.143708571,6,136.9,55.847,759.3,1.01975,5.59475,7.566120694,-0.4925,-4.329447615,1.54375,642.925,-35.75,33.125,46.34875,21.38865,-0.08525,-4.225,1.739920025,0.719050802,0.378885832,2.5275,3014,1.67,17.174,12.9,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,27,1,3,0,0,0,0
Ba,Sr,,Fe,Co,,5,105.7221796,-1.410678704,6,136.9,55.847,759.3,1.04525,5.4665,7.57728947,-0.470625,-4.863600661,1.5475,648.4125,-51.75,32,46.19875,21.714475,-0.083,-4.2125,1.732911179,0.708653118,0.387466592,2.5275,3053,1.7075,16.4,12.875,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.25,1,3.75,0,0,0,0
Ba,Sr,,Fe,Ni,,5,135.9544601,-1.314627173,6,136.9,55.847,759.3,1.039,5.4665,7.574863124,-0.49375,-4.671842589,1.54625,645.75,-46.625,32.375,45.03625,21.74445,-0.085875,-3.8,1.734429001,0.713660187,0.386325386,2.5275,3018.5,1.695,16.677,12.05,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.5,1,3.5,0,0,0,0
Ba,Sr,,Fe,Co,,5,113.0606437,-1.43325399,6,136.9,55.847,759.3,1.05175,5.402375,7.580447512,-0.4828125,-4.938919112,1.548125,648.49375,-54.625,31.8125,44.96125,21.9073625,-0.08475,-3.79375,1.730939612,0.708501424,0.390736932,2.5275,3038,1.71375,16.29,12.0375,1.42,-1.67793991,2.22,2.76,3143,1.72,7.87,33.5,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.125,1,3.875,0,0,0,0
Ba,Sr,,Fe,Ni,,5,110.2858358,-1.399373849,6,136.9,55.847,759.3,1.048625,5.402375,7.579234339,-0.494375,-4.843040076,1.5475,647.1625,-52.0625,32,44.38,21.92235,-0.0861875,-3.5875,1.731696465,0.710995076,0.390155807,2.5275,3020.75,1.7075,16.4285,11.625,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,35.17,1.44,-1.92352226,2.45,55,1.75,0.17,0,0,0,0,26.25,1,3.75,0,0,0,0
Ba,Sr,,Fe,,,4,89.50296147,-1.479234775,6,136.9,55.847,759.3,1.05825,5.33825,7.583605554,-0.495,-5.014237563,1.54875,648.575,-57.5,31.625,43.72375,22.10025,-0.0865,-3.375,1.728972526,0.708349796,0.394062947,2.5275,3023,1.72,16.18,11.2,1.42,-1.67793991,2.22,2.76,3023,1.72,7.87,30.651,1.44,-1.92352226,2.45,55,1.77,0.17,0,0,0,0,26,1,4,0,0,0,0
Ba,Sr,,Mn,Fe,,5,102.7754203,-1.49147175,6,136.9,55.847,759.3,1.0573125,5.311125,7.5812151,-0.493599138,-5.060180118,1.54875,645.95625,-59,31.4375,39.2,22.1570625,-0.0884375,-2.70625,1.730461084,0.713269789,0.413241119,2.5275,2924.5,1.72875,16.1125,9.8625,1.42,-1.67793991,2.22,2.76,3023,1.79,7.87,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,25.875,1,4.125,0,0,0,0
Ba,Sr,,Mn,Fe,,5,96.03603838,-1.519664725,6,136.9,55.847,759.3,1.056375,5.284,7.578824646,-0.492198276,-5.106122674,1.54875,643.3375,-60.5,31.25,34.67625,22.213875,-0.090375,-2.0375,1.731952207,0.718258605,0.434381505,2.5275,2826,1.7375,16.045,8.525,1.42,-1.67793991,2.22,2.76,3023,1.79,7.87,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,25.75,1,4.25,0,0,0,0
Ba,Sr,,Mn,Fe,,5,86.69975106,-1.563023425,6,136.9,54.938,717.4,1.0545,5.22975,7.574043739,-0.489396552,-5.198007785,1.54875,638.1,-63.5,30.875,25.62875,22.3275,-0.09425,-0.7,1.734942175,0.728448568,0.483890802,2.5275,2629,1.755,15.91,5.85,1.42,-1.67793991,2.22,2.76,3023,1.79,7.87,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,25.5,1,4.5,0,0,0,0
Ba,Sr,,Mn,,,4,113.8862036,-1.597024575,6,136.9,54.938,717.4,1.05075,5.12125,7.564481923,-0.483793103,-5.381778008,1.54875,627.625,-69.5,30.125,7.53375,22.55475,-0.102,1.975,1.74095319,0.749721216,0.626763448,2.5275,2235,1.79,15.64,0.5,1.42,-1.67793991,2.22,2.76,2235,1.79,7.435,33.667,1.44,-1.92352226,2.45,52,1.61,0.17,0,0,0,0,25,1,5,0,0,0,0
Ba,Sr,,Ni,,,4,258.8280509,-0.801693367,6,136.9,58.6934,736.7,0.98125,5.85125,7.548635833,-0.49,-3.644657668,1.53875,637.275,-14,34.625,48.97375,20.67705,-0.084,-5.075,1.751007041,0.730080087,0.364834437,2.5275,3005,1.62,18.168,14.6,1.42,-1.67793991,2.22,2.76,3005,1.62,7.635,35.17,1.44,-1.92352226,2.45,61,1.75,0.17,0,0,0,0,28,1,2,0,0,0,0
Ba,Sr,,V,,,4,42.13350699,-2.100668277,6,136.9,50.9415,650,1.03125,4.45625,7.767937663,-0.495,-5.341125728,1.57375,593.925,-44.5,27.125,18.97375,24.553,-0.1065,0.225,1.621420156,0.827461538,0.308316544,2.5275,3650,1.92,14.65,4,1.42,-1.67793991,2.22,2.76,3650,1.92,6.74,29.31,1.44,-1.92352226,2.45,46,1.64,0.17,0,0,0,0,23,1,7,0,0,0,0
Ba,Y,,Co,,,4,113.4830544,-1.643965255,6,393.3,58.9332,758,0.869375,6.575,7.027355762,0.159375,-6.204859771,1.435,672.8625,28.5,34.625,58.75,21.0393625,-0.0725,-7.925,1.552006497,0.775362797,0.884074471,2.3925,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.075,-6.34029752,2.27,58,1.75,0.535,0,0,0,0,27,1,3,0,0,1,1
Ba,Y,,Cr,,,4,101.755733,-2.163963566,6,393.3,51.996,652.8,0.879375,5.72,7.090097071,0.051875,-7.417523468,1.445,620.2625,25.5,30.125,55.6,24.5079625,-0.0865,-2.925,1.51743225,0.900314032,0.972091311,2.3925,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,2945,1.85,6.766,30.96,1.075,-6.34029752,2.27,49,1.73,0.535,0,0,0,0,24,1,5,0,0,1,0
Ba,Y,,Fe,,,4,84.72896518,-1.913356538,6,393.3,55.847,759.3,0.921375,6.062,7.0526201,0.061875,-6.807407378,1.44,673.5125,5.5,33.125,48.85,22.5824625,-0.0865,-4.575,1.537896566,0.774035296,0.944277539,2.3925,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.075,-6.34029752,2.27,55,1.77,0.535,0,0,0,0,26,1,4,0,0,1,0
Ba,Y,,Ga,,,4,184.3874048,-2.066766973,6,393.3,69.723,578.8,0.914375,5.08,7.571951078,-0.396875,-4.170792849,1.485,583.2625,8,42.625,29.05,15.6444625,-0.0475,0.125,1.295745039,1.015419834,1.28885808,2.3925,2478,1.81,20.51,1.8,1.42,-1.92352226,2.22,2.76,2478,1.81,5.999,30.71,1.075,-6.34029752,2.27,74,1.31,0.535,0,0,0,0,31,1,0,5,0,1,0
Ba,Y,,Mn,,,4,91.10598761,-2.029611338,6,393.3,54.938,717.4,0.913875,5.845,7.033496469,0.073081897,-7.174947823,1.44,652.5625,-6.5,31.625,12.66,23.0369625,-0.102,0.775,1.548553197,0.8192431,1.501888596,2.3925,2235,1.79,15.64,0.5,1.42,-1.92352226,2.22,2.76,2235,1.79,7.435,33.667,1.075,-6.34029752,2.27,52,1.61,0.535,0,0,0,0,25,1,5,0,0,1,0
Ba,Y,,Ni,,,4,152.5708865,-1.38114738,6,393.3,58.6934,736.7,0.844375,6.575,7.017650379,0.066875,-5.437827483,1.43,662.2125,49,36.125,54.1,21.1592625,-0.084,-6.275,1.557495954,0.797780643,0.874238411,2.3925,3005,1.62,18.168,14.6,1.42,-1.92352226,2.22,2.76,3005,1.62,7.635,35.17,1.075,-6.34029752,2.27,61,1.75,0.535,0,0,0,0,28,1,2,0,0,1,0
Ba,Y,,Sc,,,4,94.60256203,-2.93909071,6,393.3,44.9559,631,0.976875,3.62,7.814710826,0.044375,-5.807421743,1.575,609.3625,2.55,11.125,16.65,28.0280125,-0.146,0.275,1.206913216,0.931418384,1.082759186,2.3925,3109,2.09,12.8,1.5,1.42,-1.92352226,2.22,2.76,3109,2.09,6.54,24.76,1.075,-6.34029752,2.27,11,1.27,0.535,0,0,0,0,21,1,9,0,0,1,1
Ba,Y,,Ti,,,4,66.50124863,-2.781746417,6,393.3,47.88,658,0.906875,4.395,7.503112981,0.136875,-6.552278758,1.515,622.8625,3.5,27.125,19.7,26.5659625,-0.1235,-0.275,1.323365084,0.893199088,0.776164158,2.3925,3560,2,13.58,2.6,1.42,-1.92352226,2.22,2.76,3560,2,6.82,27.491,1.075,-6.34029752,2.27,43,1.52,0.535,0,0,0,0,22,1,8,0,0,1,1
Ba,Y,,V,,,4,33.0048005,-2.36963354,6,393.3,50.9415,650,0.894375,5.18,7.236952209,0.061875,-7.134295543,1.465,618.8625,18.5,28.625,24.1,25.0352125,-0.1065,-0.975,1.442230256,0.904192308,0.738806805,2.3925,3650,1.92,14.65,4,1.42,-1.92352226,2.22,2.76,3650,1.92,6.74,29.31,1.075,-6.34029752,2.27,46,1.64,0.535,0,0,0,0,23,1,7,0,0,1,0
Ba,Bi,Pr,Co,,,5,109.0334108,-1.372961253,4,332.63,58.9332,758,0.94,7.425,7.206327947,-0.03875,-5.342668386,1.455,648,44.625,40.3125,57.066875,44.570975,-0.116375,-7.99375,1.617000812,0.709762533,0.646303241,2.57375,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.17,-4.64853984,1.63,58,1.75,0.44,0.125,0.5,5.5,3.25,27,1,3,0,0,0,1
Ba,Bi,La,Fe,,,5,171.9567027,-1.180790075,4,179,55.847,759.3,0.996375,7.432,7.147239853,-0.72421875,-5.80479784,1.399375,683.4,32.875,51.5,46.36125,58.75256875,-0.143875,-4.73125,1.571945634,0.80007902,0.549417024,2.1925,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.17,-4.79586452,1.63,55,1.77,0.44,0.5,0.125,0,7,26,1,4,0,0,0,0
Ba,Cd,Pr,Ni,,,5,257.0759627,-0.96739269,4,332.63,58.6934,736.7,0.92375,7.35625,7.132739539,0.0684375,-4.378041088,1.446875,647.625,58.25,40.8125,57.975,38.655225,-0.121,-5.48125,1.599438776,0.758178363,0.612910596,2.58375,3005,1.62,18.168,14.6,1.42,-0.74033904,2.22,2.76,3005,1.62,7.635,35.17,1.2,-4.64853984,1.71,61,1.75,0.41,0,0.5,5.5,1.5,28,1,2,0,0,0,0
Ba,Cd,La,Fe,,,5,258.6653096,-1.009429826,4,99.87,55.847,759.3,1.031375,7.157,6.891707755,0.07453125,-5.014417797,1.386875,724.5,5.375,47.5,68.59375,34.60996875,-0.116375,-1.28125,1.479992002,0.908336626,0.436212446,2.2325,3023,1.72,16.18,11.2,1.42,-0.74033904,2.22,2.76,3023,1.72,7.87,30.651,1.31,-4.79586452,1.71,55,1.77,0.3,0,0.125,0,0,26,1,4,0,0,1,0
